wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
580	0.025995446	0.037298118	0.023972689	0.032837954	0.021266873	0.019444278	0.028558074	0.026139188	0.021444731
581	0.025743463	0.036946663	0.023739807	0.032554844	0.021055621	0.019252191	0.028291658	0.025888056	0.021228901
582	0.025509778	0.03661772	0.023527012	0.032291196	0.020859187	0.019076155	0.028042647	0.025650584	0.021029894
583	0.025295142	0.036312316	0.023334035	0.032044511	0.020676866	0.018914178	0.027808066	0.025426986	0.020845694
584	0.025097747	0.036028581	0.023158797	0.031813063	0.020508809	0.018761815	0.027586802	0.025219969	0.020673077
585	0.024912587	0.035754584	0.02299112	0.031590108	0.020352113	0.018616608	0.027382332	0.025023648	0.020512719
586	0.024732581	0.03548475	0.022827378	0.031376211	0.020202865	0.018477671	0.027187128	0.02483597	0.020360986
587	0.024555388	0.035216919	0.022669535	0.031173352	0.020059854	0.018344578	0.02699684	0.024658098	0.020214348
588	0.024389597	0.034959828	0.022522541	0.03098266	0.019926053	0.018215647	0.026815095	0.024491421	0.020072107
589	0.024231123	0.034724485	0.022382791	0.030802637	0.019797466	0.018092999	0.026644348	0.024336249	0.019937418
590	0.024076662	0.034510018	0.022246722	0.030631127	0.019672848	0.01797901	0.026484677	0.024190274	0.019812172
591	0.023930824	0.034306858	0.022115966	0.030466092	0.019556566	0.017872508	0.026333606	0.024052938	0.01969468
592	0.023794596	0.034116212	0.021992433	0.030307584	0.019447794	0.017770583	0.026189829	0.023923774	0.019584074
593	0.02366657	0.033939869	0.021878369	0.030158633	0.019343659	0.017673791	0.026053583	0.023801906	0.019482278
594	0.023546401	0.033775436	0.021776344	0.030022356	0.019243479	0.017583119	0.025925526	0.023685288	0.019390282
595	0.023441375	0.033616602	0.021681956	0.029895792	0.019147717	0.017495402	0.025802975	0.023574656	0.019302611
